timestamp,nodeId,nodeIdentifier,pitSize,pitOccupancy,cacheHitRatio,interestRate,dataRate,trustScore,rssi,delay,label
3.9,1006,RSU_1006,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1007,RSU_1007,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,0,Node_0,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1,Node_1,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,2,Node_2,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,3,Node_3,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,4,Node_4,4237312848,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
3.9,1000,RSU_1000,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1001,RSU_1001,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1002,RSU_1002,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1003,RSU_1003,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1004,RSU_1004,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1005,RSU_1005,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1006,RSU_1006,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1007,RSU_1007,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,0,Node_0,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1,Node_1,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,2,Node_2,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,3,Node_3,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,4,Node_4,4237312848,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
3.9,1000,RSU_1000,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1001,RSU_1001,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1002,RSU_1002,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1003,RSU_1003,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1004,RSU_1004,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1005,RSU_1005,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1006,RSU_1006,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,1007,RSU_1007,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
3.9,0,Node_0,100,0.5,0.7,50,40,0.9,-70,0.05,packetDropped
